time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
2013-10-06,31.247194767,374.469665527,15.0,62.5402565002,4.8,0.0079,0.0
2013-10-07,62.2723503113,391.830810547,20.6,52.2056999207,5.5,0.0028,0.0
2013-10-08,165.958644867,298.549957275,15.55,29.1035900116,4.7,0.0,0.0
2013-10-09,148.948547363,279.622253418,12.75,31.8469924927,4.2,0.0,0.0
2013-10-10,108.086971283,297.863739014,12.5,46.0739250183,3.4,0.0,0.0
2013-10-11,141.308120728,320.270568848,15.0,45.4091644287,3.2,0.0,0.0
2013-10-12,39.7524385452,334.375030518,13.9,33.5727081299,5.5,0.0,0.0
2013-10-13,96.1994943619,319.679138184,12.75,29.5995635986,3.8,0.0,0.0
2013-10-14,154.44270134,286.051452637,11.4,35.7283554077,2.6,0.0,0.0
2013-10-15,92.0788068771,336.958190918,14.45,38.8525390625,2.8,0.0,0.0
2013-10-16,70.331615448,326.113739014,13.65,46.3486404419,2.3,0.0,0.0
2013-10-17,114.383584976,344.557403564,17.5,42.4144058228,3.8,0.0008,0.0
2013-10-18,134.819519043,338.36895752,17.2,26.8561859131,5.5,0.0005,0.0
2013-10-19,133.047807693,288.262207031,14.7,30.7989215851,3.8,0.0,0.0
2013-10-20,147.856908798,294.015625,13.6,33.9737739563,5.2,0.0,0.0
2013-10-21,139.719625473,280.304412842,13.6,32.756072998,3.6,0.0,0.0
2013-10-22,83.9701557159,307.697570801,15.3,35.1699256897,4.7,0.0,0.0
2013-10-23,68.7507324219,290.578033447,9.75,29.3762512207,2.6,0.0,0.0
2013-10-24,129.404882431,268.468017578,9.7,26.4503288269,6.1,0.0,0.0
2013-10-25,91.1379671097,271.559234619,7.5,23.5244064331,4.7,0.0,0.0
2013-10-26,100.813472748,265.716766357,8.35,38.4835510254,5.9,0.0,0.0
2013-10-27,98.4814319611,296.121643066,10.3,43.5020484924,5.6,0.0008,0.0
2013-10-28,112.195577621,270.745391846,9.75,34.4401550293,5.5,0.0,0.0
2013-10-29,126.613681793,256.028564453,5.55,35.2207641602,3.1,0.0,0.0
2013-10-30,64.4783840179,290.070983887,7.8,52.7261810303,1.7,0.0013,0.0
2013-10-31,27.7980203629,316.913421631,10.8,61.4549026489,3.7,0.0008,0.0
